115,002064.SZ,20220526,7.77,7.93,7.66,7.89,1.2837,155491.89,7.83,7.99,7.72,7.46,3.38,44.08,4.66,0.73,0.88,other,https://gu.qq.com/sh600548/gp
116,002171.SZ,20220526,8.07,8.27,7.94,8.18,1.7413,161032.13,8.13,8.38,7.63,6.88,9.85,52.2,11.77,0.84,0.9,other,https://gu.qq.com/sh600548/gp
117,600817.SH,20220526,11.3862,11.94,11.3668,11.94,10.0268,372414.56,11.75,10.09,8.16,6.23,23.65,83.63,15.11,1.57,3.32,other,https://gu.qq.com/sh600548/gp
118,600552.SH,20220526,9.81,10.15,9.68,9.9,7.2589,732822.6,9.91,9.16,8.06,6.96,13.64,71.39,12.32,1.11,2.8,other,https://gu.qq.com/sh600548/gp
119,601369.SH,20220526,8.3,8.66,8.26,8.63,3.9759,112074.67,8.52,8.75,7.9,7.04,10.83,59.77,13.25,0.82,1.38,other,https://gu.qq.com/sh600548/gp
120,600507.SH,20220526,8.18,8.28,8.13,8.25,0.9792,225065.06,8.22,8.35,8.16,7.97,2.33,49.16,3.3,0.71,0.96,crossOverSMA,https://gu.qq.com/sh600548/gp
121,600970.SH,20220526,8.39,8.5,8.28,8.38,0.4796,135970.9,8.39,8.5,8.08,7.65,5.23,50.95,6.78,0.77,0.9,other,https://gu.qq.com/sh600548/gp
122,000910.SZ,20220526,8.29,8.36,8.17,8.36,0.9662,28563.0,8.3,8.64,8.34,8.03,3.68,35.4,10.04,0.37,0.62,other,https://gu.qq.com/sh600548/gp
123,600325.SH,20220526,6.92,7.07,6.83,6.96,0.1439,475690.5,6.95,7.65,7.04,6.42,8.75,48.7,11.22,0.78,0.74,other,https://gu.qq.com/sh600548/gp
124,601186.SH,20220526,8.09,8.2,8.08,8.11,0.8706,619887.12,8.13,8.56,8.24,7.91,3.91,48.75,6.12,0.64,0.84,other,https://gu.qq.com/sh600548/gp
125,002126.SZ,20220526,8.62,8.72,8.44,8.57,-0.8102,93218.63,8.58,8.96,8.22,7.49,8.88,52.1,10.23,0.87,0.64,other,https://gu.qq.com/sh600548/gp
126,000703.SZ,20220526,9.01,9.59,9.01,9.46,4.9945,350148.96,9.35,9.25,8.22,7.2,12.48,72.05,12.9,0.97,1.94,other,https://gu.qq.com/sh600548/gp
127,002244.SZ,20220526,7.81,8.05,7.71,7.94,1.6645,281365.57,7.9,8.63,7.98,7.32,8.27,52.65,14.92,0.55,0.61,other,https://gu.qq.com/sh600548/gp
128,000683.SZ,20220526,9.55,10.04,9.54,9.95,3.538,834784.96,9.84,9.68,8.69,7.71,11.35,64.86,11.8,0.96,0.86,other,https://gu.qq.com/sh600548/gp
129,002135.SZ,20220526,8.36,8.63,8.31,8.39,0.5995,175762.51,8.44,9.0,8.52,8.05,5.57,41.32,7.44,0.75,0.69,other,https://gu.qq.com/sh600548/gp
130,600395.SH,20220526,8.8,9.35,8.75,9.26,3.8117,561662.24,9.12,9.51,8.31,7.11,14.42,57.18,16.68,0.86,0.77,other,https://gu.qq.com/sh600548/gp
131,002745.SZ,20220526,8.7999,8.8393,8.5834,8.7999,0.0,150502.26,8.74,9.05,8.69,8.32,4.2,36.08,9.69,0.43,0.73,other,https://gu.qq.com/sh600548/gp
132,002233.SZ,20220526,8.73,8.85,8.68,8.81,1.3809,86516.15,8.78,8.94,8.76,8.57,2.11,42.69,2.93,0.72,0.85,crossOverSMA,https://gu.qq.com/sh600548/gp
133,000975.SZ,20220526,9.54,9.73,9.21,9.5,-2.6639,438312.7,9.48,9.57,8.91,8.24,7.45,56.28,8.52,0.88,0.87,other,https://gu.qq.com/sh600548/gp
134,600330.SH,20220526,9.8,9.83,9.34,9.6,-1.0309,183402.37,9.59,10.03,8.84,7.64,13.52,52.82,15.09,0.9,0.63,other,https://gu.qq.com/sh600548/gp
135,600223.SH,20220526,8.58,8.64,8.43,8.61,1.1751,59019.59,8.56,8.99,8.51,8.04,5.54,41.21,8.64,0.64,0.5,crossOverSMA,https://gu.qq.com/sh600548/gp
136,000906.SZ,20220526,8.55,8.77,8.35,8.74,2.3419,78483.27,8.62,8.72,8.39,8.06,3.91,42.84,9.35,0.42,0.83,other,https://gu.qq.com/sh600548/gp
137,600366.SH,20220526,9.29,9.55,9.09,9.35,0.4296,206793.48,9.33,9.66,8.86,8.06,8.99,49.88,10.63,0.85,0.61,other,https://gu.qq.com/sh600548/gp
138,002152.SZ,20220526,8.63,8.8,8.51,8.77,1.5046,151425.68,8.69,9.13,8.7,8.27,4.92,39.82,6.91,0.71,0.67,other,https://gu.qq.com/sh600548/gp
139,002798.SZ,20220526,9.19,9.37,9.07,9.3,1.197,18768.0,9.25,9.31,8.81,8.3,5.74,46.46,10.75,0.53,0.63,other,https://gu.qq.com/sh600548/gp
140,002436.SZ,20220526,9.0,9.58,8.7,9.06,0.6667,349067.82,9.11,9.75,8.82,7.89,10.58,48.05,12.7,0.83,1.2,other,https://gu.qq.com/sh600548/gp
141,002139.SZ,20220526,10.16,10.17,9.82,10.02,-1.378,190654.95,10.0,10.57,8.87,7.17,19.17,59.07,20.34,0.94,0.36,other,https://gu.qq.com/sh600548/gp
142,002191.SZ,20220526,9.1,9.12,8.68,8.94,0.3367,300653.27,8.91,9.31,8.9,8.5,4.54,34.03,6.18,0.73,0.49,crossOverSMA,https://gu.qq.com/sh600548/gp
143,000811.SZ,20220526,9.29,9.45,9.17,9.39,0.9677,64828.96,9.34,9.74,9.0,8.27,8.15,45.62,10.75,0.76,0.62,other,https://gu.qq.com/sh600548/gp
144,002465.SZ,20220526,8.94,9.3,8.86,9.24,3.4714,224734.63,9.13,9.32,8.95,8.58,4.14,49.31,6.62,0.62,1.37,crossOverSMA,https://gu.qq.com/sh600548/gp
145,600873.SH,20220526,9.55,9.65,9.47,9.56,0.2096,246635.1,9.56,9.91,8.86,7.81,11.83,65.19,14.71,0.8,0.52,other,https://gu.qq.com/sh600548/gp
